"die Adresse, -n","Können Sie mir Ihre Adresse geben?","adress"," Can you give me your address?"
"die Ahnung, -en","Ich hatte keine Ahnung, dass du heute Geburtstag das schon allein.","idea"," I had no idea that today is your birthday, all by yourself."
"das Alter, -","Alter: 18 Jahre.","age"," Age: 18 years."
"die Ampel, -n","Du kannst fahren, die Ampel ist grün.","traffic light"," You can drive, the light is green."
"das Angebot, -e","Heute sind Bananen im Angebot.","offer"," Bananas are on sale today."
"der Anfang, ¨-e","Sie wohnt am Anfang der Straße.","start; beginning"," She lives at the beginning of the street."
"die Angst, ¨-e","Hab keine Angst!","fear"," Don’t be afraid!"
"die Ankunft, -e","Auf diesem Fahrplan steht nur die Ankunft der Züge.","arrival"," This timetable only shows the arrival of the trains."
"die Anmeldung, -en","Wo bekomme ich das Formular für die Anmeldung?","registration"," Where can I get the registration form?"
"der Anrufantworter, -","Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.","answering machine"," We are not here at the moment. Please leave a message on the answering machine."
"der Anruf, -e","Eva bekommt viele Anrufe von ihrem Freund Juan.","call"," Eva gets many calls from her friend Juan."
"der Anschluss, ¨-e","In Mannheim haben Sie Anschluss nach Saarbrücken.","connection"," In Mannheim you have a connection to Saarbrücken."
"die Antwort, -en","Er gibt leider keine Antwort.","answer"," He unfortunately gives no answer."
"die Anzeige, -n","Ich habe Ihre Anzeige in der Zeitung gelesen.","advertisement; notice"," I read your advertisement in the newspaper."
"der Anzug, ¨-e","Mein Mann muss sich einen neuen Anzug kaufen.","suit"," My husband has to buy a new suit."
"der Apfel, ¨-","Ein Kilo Äpfel, bitte.","apple"," One kilogram of apples, please."
"die Apotheke, -n","Das Medikament bekommen Sie in der Apotheke.","pharmacy"," You can get the medication at the pharmacy."
"der Apparat, -e","Was machen wir mit deinem alten Apparat?","device; apparatus"," What should we do with your old device?"
"die Arbeit, -en","Mein Bruder sucht Arbeit.","work"," My brother is looking for work."
"der Arm, -e","Mein Arm tut weh.","arm"," My arm hurts."
"der Artikel, -","Im Deutschen gibt es drei Artikel: der, die und das.","article"," In German there are three articles: der, die and das."
"der Aufzug, ¨-e","In diesem Haus gibt es keinen Aufzug.","elevator"," There is no elevator in this house."
"das Auge, -n","Er hat blaue Augen.","eye"," He has blue eyes."
"die Ausbildung, -en","Ich möchte eine Ausbildung zum Krankenpfleger","training; education"," I want to train to become a male nurse."
"der Ausflug, ¨-e","Morgen machen wir einen Ausflug nach Heidelberg/","excursion"," Tomorrow we are taking a trip to Heidelberg."
"der Ausgang, ¨-e","Entschuldigung, wo ist der Ausgang?","exit"," Excuse me, where is the exit?"
"die Auskunft, ¨-e","Wo ist die Auskunft? Können Sie mir bitte eine Auskunft geben?","information"," Where is the information desk? Could you please give me some information?"
"das Ausland, -","Fahren Sie ins Ausland?","abroad; foreign country"," Do you travel abroad?"
"die Ausstellung, -en","Gehen wir morgen zusammen in die Ausstellung?","exhibition"," Are we going to the exhibition together tomorrow?"
"der Ausweis, -e","Darf ich bitte mal Ihren Ausweis sehen? – Hier ist mein Ausweis.","ID card"," May I please see your ID? – Here is my ID."
"das Auto, -s","Er fährt mit dem Auto.","car"," He is driving the car."
"die Autobahn, -en","Darf ich mit dem Motorroller auf der Autobahn","highway"," May I ride the moped on the highway"
"der Automat, -en","Fahrkarten gibt es nur am Automaten.","vending machine; automatic"," Tickets are only available from the vending machine."
"das Baby, -s","Wir haben ein Baby. Es ist sechs Wochen alt.","baby"," We have a baby. It is six weeks old."
"der Babysitter, -","Meine Tochter arbeitet als Babysitter bei einer Familie mit vier Kindern","babysitter"," My daughter works as a babysitter for a family with four children."
"die Bäckerei, -en","Ich geh mal schnell zur Bäckerei.","bakery"," I’ll quickly go to the bakery."
"das Bad, ¨-er","Das Haus ist sehr alt. Es hat kein Bad.","bathroom"," The house is very old. It has no bathroom."
